shipment_id,booking_date,departure_date,arrival_date,weight_kg,volume_cbm,freight_cost_eur,status,origin_country,destination_country,customer_name,customer_segment,carrier_name,mode,carrier_mode,Anno_Settimana,Giorni_Transito,SLA_Rispettato,Costo_per_Kg,Costo_per_CBM,Categoria_Errore,Insuccesso_Flag
16,2025-02-12,2025-02-18,,"9960,1","53,21","5571,89",In Transit,Netherlands,Italy,Far East Trading Co,Standard,Lufthansa Cargo,Road,Air,2025-06,,,,,Dati Validi,0
17,2024-01-08,2024-01-10,2024-01-12,"1529,4","9,89","2054,57",Delivered,Italy,UK,Far East Trading Co,Standard,Lufthansa Cargo,Road,Air,2024-02,"2,0","1,0",,,Dati Validi,0
18,2024-05-15,2024-05-25,2024-07-02,"5383,8","24,37","7496,2",Delivered,Germany,Netherlands,Delta Manufacturing,Standard,,Sea,Road,2024-20,"38,0","1,0",,,Anagrafica Carrier Mancante,0
19,2025-02-24,2025-03-04,2025-03-05,"14393,3","58,29","8155,99",Delayed,Spain,Italy,Riverstone Logistics Partners,SME,CMA CGM,Air,Sea,2025-08,"1,0",,,,Dati Validi,1
20,2025-04-04,2025-04-07,2025-05-10,"6164,1","32,88","16329,38",Delivered,Italy,UK,Atlantic Furniture Co,Standard,Lufthansa Cargo,Sea,Air,2025-13,"33,0","1,0",,,Dati Validi,0
21,2024-01-16,2024-01-18,2024-02-14,"8970,8","40,37","22570,03",Delivered,Germany,Netherlands,Far East Trading Co,Standard,Maersk,Sea,Sea,2024-03,"27,0","1,0","2,515943951487047","559,0792667822641",Dati Validi,0
22,2024-09-28,2024-10-06,2024-11-04,"15340,2","59,1","35258,35",Delivered,Spain,Italy,Atlantic Furniture Co.,Standard,CMA CGM,Sea,Sea,2024-39,"29,0","1,0","2,298428312538298","596,587986463621",Dati Validi,0
23,2024-08-10,2024-08-11,2024-09-18,"11951,2","45,58","6674,61",Delayed,Netherlands,Italy,Mediterraneo Ceramiche,Standard,Maersk Line,Sea,Sea,2024-32,"38,0",,"0,558488687328469","146,43725318121983",Dati Validi,1
24,2025-06-04,2025-06-06,2025-07-01,"13111,0","52,18","12737,38",Delivered,China,Italy,Far East Trading Co,Standard,Cosco Shipping,Sea,Sea,2025-22,"25,0","1,0","0,9715033178247273","244,10463779225756",Dati Validi,0
25,2024-03-24,2024-03-31,2024-04-10,"20566,8","113,86","43711,72",Delivered,China,Italy,Coastal Imports,SME,Lufthansa Cargo,Road,Air,2024-12,"10,0","1,0",,,Dati Validi,0
26,2025-04-13,2025-04-19,2025-04-22,"10109,4","33,72","28287,25",Delivered,Netherlands,Italy,Pinnacle Electronics,Key Account,Maersk Line,Road,Sea,2025-14,"3,0","1,0",,,Dati Validi,0
27,2024-12-23,2024-12-25,2024-12-27,"6305,5","29,23","10898,71",Delivered,Sweden,Italy,Sunrise Apparel Ltd,Key Account,Cosco Shipping,Air,Sea,2024-52,"2,0","1,0",,,Dati Validi,0
28,2024-11-02,2024-11-04,2024-11-28,"2583,7","15,56","4609,28",Delivered,Germany,Netherlands,Riverstone Logistics Partners,SME,Cosco Shipping,Sea,Sea,2024-44,"24,0","1,0","1,7839842086929598","296,22622107969147",Dati Validi,0
29,2024-07-27,2024-08-01,2024-08-11,"5562,1","19,43","3174,96",Delivered,Italy,USA,Coastal Imports,SME,Lufthansa Cargo,Road,Air,2024-30,"10,0","1,0",,,Dati Validi,0
30,2024-05-13,2024-05-18,2024-06-12,"9748,3","38,1","17111,41",Delayed,Italy,USA,Delta Manufacturing,Standard,MSC,Sea,Sea,2024-20,"25,0",,"1,7553224664813354","449,11837270341204",Dati Validi,1
31,2025-01-13,2025-01-23,2025-02-02,"9483,8","60,69","12469,98",Delivered,China,Italy,Pinnacle Electronics ,Key Account,Maersk Line,Road,Sea,2025-02,"10,0","1,0",,,Dati Validi,0
32,2024-04-15,2024-04-21,,"8970,0","36,9","7290,68",Cancelled,Italy,UK,Nordic Textiles AB,Key Account,DHL Global Forwarding,Sea,Road,2024-16,,,,,Dati Validi,1
33,2024-07-02,2024-07-08,,"14754,5","56,69","14795,32",Cancelled,China,Italy,Atlantic Furniture Co.,Standard,Maersk Line,Air,Sea,2024-27,,,,,Dati Validi,1
34,2025-04-26,2025-04-30,,"20210,0","99,83","48238,26",Cancelled,China,Italy,Pinnacle Electronics ,Key Account,Maersk,Air,Sea,2025-16,,,,,Dati Validi,1
35,2025-02-12,2025-02-18,,"1573,8","5,92","2184,13",Cancelled,Italy,UK,Sunrise Apparel Ltd,Key Account,MSC,Road,Sea,2025-06,,,,,Dati Validi,1
36,2024-04-28,2024-05-03,,"21177,6","111,57","14182,83",In Transit,China,Italy,Riverstone Logistics Partners,SME,Cosco Shipping,Air,Sea,2024-17,,,,,Dati Validi,0
37,2024-04-28,2024-05-05,2024-05-10,"5641,2","22,01","2653,33",Delivered,Germany,Netherlands,Pinnacle Electronics ,Key Account,DHL Global Forwarding,Air,Road,2024-17,"5,0","1,0",,,Dati Validi,0
38,2024-03-12,2024-03-18,2024-03-23,"14611,4","86,61","37634,32",Delivered,Spain,Italy,Far East Trading Co,Standard,Lufthansa Cargo,Air,Air,2024-11,"5,0","1,0","2,575682001724681","434,52626717469116",Dati Validi,0
39,2024-10-29,2024-11-07,2024-11-09,"9278,8","31,88","19160,78",Delivered,Spain,Italy,Riverstone Logistics Partners,SME,CMA CGM,Air,Sea,2024-44,"2,0","1,0",,,Dati Validi,0
40,2024-01-01,2024-01-06,2024-01-09,"9486,0","40,03","18912,44",Delivered,Germany,Netherlands,Coastal Imports,SME,Emirates SkyCargo,Air,Air,2024-01,"3,0","1,0","1,9937212734556187","472,4566575068698",Dati Validi,0
41,2024-06-22,2024-06-24,,"14621,6","60,2","9508,97",In Transit,Italy,Portugal,Mediterraneo Ceramiche,Standard,Lufthansa Cargo,Road,Air,2024-25,,,,,Dati Validi,0
42,2024-05-30,2024-05-31,2024-06-21,"21647,4","89,57","48794,27",Delivered,Italy,UK,Sunrise Apparel Ltd,Key Account,Emirates SkyCargo,Sea,Air,2024-22,"21,0","1,0",,,Dati Validi,0
43,2025-05-21,2025-05-28,2025-06-02,"14450,5","95,81","32144,07",Delivered,Spain,Italy,Riverstone Logistics Partners,SME,Lufthansa Cargo,Road,Air,2025-20,"5,0","1,0",,,Dati Validi,0
44,2025-06-14,2025-06-22,,"5519,9","19,91","8585,55",In Transit,Sweden,Italy,Atlantic Furniture Co,Standard,CMA CGM,Sea,Sea,2025-23,,,"1,55538143806953","431,21798091411347",Dati Validi,0
45,2025-03-29,2025-04-08,2025-04-18,"18281,0","78,74","46987,15",Delivered,Italy,USA,Riverstone Logistics Partners,SME,Cosco Shipping,Road,Sea,2025-12,"10,0","1,0",,,Dati Validi,0
46,2024-10-10,2024-10-19,2024-10-23,"5301,4","24,55","11331,32",Delayed,Italy,UK,Mediterraneo Ceramiche,Standard,,Air,Road,2024-41,"4,0",,,,Anagrafica Carrier Mancante,1
47,2024-05-21,2024-05-24,2024-05-29,"15282,2","59,7","8661,28",Delivered,Italy,Germany,Green Valley Foods,SME,DHL Global Forwarding,Road,Road,2024-21,"5,0","1,0","0,5667560953265891","145,08006700167505",Dati Validi,0
48,2024-07-30,2024-08-06,,"12870,5","50,61","31929,93",Cancelled,China,Italy,Far East Trading Co,Standard,,Air,Road,2024-31,,,,,Anagrafica Carrier Mancante,1
49,2024-11-01,2024-11-08,,"16458,0","70,96","30538,38",In Transit,Italy,USA,Pinnacle Electronics,Key Account,,Sea,Road,2024-44,,,,,Anagrafica Carrier Mancante,0
50,2024-01-30,2024-02-06,2024-02-09,"14957,2","71,01","12121,12",Delayed,Italy,Portugal,Sunrise Apparel Ltd,Key Account,Emirates SkyCargo,Air,Air,2024-05,"3,0",,"0,8103869708234162","170,69595831573017",Dati Validi,1
51,2024-01-28,2024-01-30,2024-03-10,"3028,6","13,81","1759,63",Delivered,Spain,Italy,Atlantic Furniture Co.,Standard,Cosco Shipping,Sea,Sea,2024-04,"40,0","1,0","0,5810044244865615","127,41708906589429",Dati Validi,0
52,2025-01-23,2025-01-28,2025-02-01,"18376,3","83,32","40453,06",Delivered,Italy,USA,Sunrise Apparel Ltd,Key Account,,Air,Road,2025-03,"4,0","1,0",,,Anagrafica Carrier Mancante,0
53,2024-02-11,2024-02-12,2024-02-17,"18471,1","75,95","18179,04",Delivered,Italy,Germany,Green Valley Foods,SME,Lufthansa Cargo,Road,Air,2024-06,"5,0","1,0",,,Dati Validi,0
54,2025-01-12,2025-01-15,,"21204,0","82,26","48170,44",In Transit,Netherlands,Italy,Atlantic Furniture Co,Standard,Lufthansa Cargo,Air,Air,2025-01,,,"2,271761931710998","585,5876489180647",Dati Validi,0
55,2024-11-15,2024-11-25,2024-12-03,"20715,3","115,25","38063,98",Delivered,China,Italy,Delta Manufacturing,Standard,Maersk,Road,Sea,2024-46,"8,0","1,0",,,Dati Validi,0
56,2024-05-03,2024-05-13,2024-05-15,"11743,8","47,12","6917,71",Delivered,Netherlands,Italy,Sunrise Apparel Ltd,Key Account,Maersk,Road,Sea,2024-18,"2,0","1,0",,,Dati Validi,0
57,2025-03-19,2025-03-25,2025-03-29,"3408,2","19,32","5908,66",Delayed,Italy,Germany,Nordic Textiles AB,Key Account,CMA CGM,Air,Sea,2025-11,"4,0",,,,Dati Validi,1
58,2025-03-22,2025-04-01,2025-04-04,"18745,1","68,26","11755,42",Delivered,Italy,Portugal,Coastal Imports,SME,Cosco Shipping,Air,Sea,2025-11,"3,0","1,0",,,Dati Validi,0
59,2024-12-10,2024-12-11,,"7184,1","32,2","9131,9",Cancelled,Spain,Italy,Sunrise Apparel Ltd,Key Account,,Road,Road,2024-50,,,"1,2711265154995057","283,59937888198755",Anagrafica Carrier Mancante,1
60,2025-06-13,2025-06-17,2025-06-20,"15855,6","71,01","35484,73",Delivered,China,Italy,Delta Manufacturing,Standard,Emirates SkyCargo,Road,Air,2025-23,"3,0","1,0",,,Dati Validi,0
61,2024-04-05,2024-04-10,2024-04-12,"15234,7","77,76","27573,1",Delivered,China,Italy,Riverstone Logistics Partners,SME,,Air,Road,2024-14,"2,0","1,0",,,Anagrafica Carrier Mancante,0
62,2024-12-04,2024-12-10,2024-12-14,"6780,4","36,73","14610,03",Delivered,Germany,Netherlands,Far East Trading Co,Standard,DHL Global Forwarding,Air,Road,2024-49,"4,0","1,0",,,Dati Validi,0
63,2024-07-15,2024-07-19,2024-07-28,"15954,6","53,81","26619,78",Delivered,Sweden,Italy,Pinnacle Electronics ,Key Account,Cosco Shipping,Road,Sea,2024-29,"9,0","1,0",,,Dati Validi,0
64,2025-01-04,2025-01-07,2025-01-10,"15591,0","92,26","8008,61",Delivered,Italy,UK,Atlantic Furniture Co,Standard,Lufthansa Cargo,Air,Air,2025-00,"3,0","1,0","0,5136687832724007","86,80479080858443",Dati Validi,0
65,2024-04-15,2024-04-16,2024-04-22,"10557,8","52,5","28825,96",Delivered,Italy,Portugal,Delta Manufacturing,Standard,Maersk Line,Road,Sea,2024-16,"6,0","1,0",,,Dati Validi,0
66,2025-05-18,2025-05-20,2025-06-27,"15117,6","87,51","35859,29",Delayed,Spain,Italy,Mediterraneo Ceramiche,Standard,Maersk,Sea,Sea,2025-19,"38,0",,"2,3720226755569667","409,773625871329",Dati Validi,1
67,2025-03-02,2025-03-12,,"13624,3","51,15","273831,3",Cancelled,Germany,Netherlands,Atlantic Furniture Co,Standard,Lufthansa Cargo,Sea,Air,2025-08,,,,,Dati Validi,1
68,2024-04-11,2024-04-15,2024-04-17,"14546,4","83,81","11962,9",Delivered,China,Italy,Delta Manufacturing,Standard,CMA CGM,Air,Sea,2024-15,"2,0","1,0",,,Dati Validi,0
69,2024-10-25,2024-10-26,2024-10-28,"15567,7","60,94","23481,4",Delivered,Italy,Portugal,Nordic Textiles AB,Key Account,CMA CGM,Air,Sea,2024-43,"2,0","1,0",,,Dati Validi,0
70,2024-08-18,2024-08-21,,"3172,1","19,96","7561,42",Cancelled,Italy,Germany,Delta Manufacturing,Standard,Lufthansa Cargo,Air,Air,2024-33,,,"2,3837268686359194","378,82865731462925",Dati Validi,1
71,2025-04-24,2025-04-29,2025-05-03,"11035,4","49,25","6608,61",Delivered,Italy,Germany,Coastal Imports,SME,Emirates SkyCargo,Air,Air,2025-16,"4,0","1,0","0,5988555013864473","134,18497461928933",Dati Validi,0
72,2024-01-27,2024-01-29,2024-02-03,"18399,3","77,87","49744,7",Delayed,Netherlands,Italy,Pinnacle Electronics,Key Account,DHL Global Forwarding,Road,Road,2024-04,"5,0",,"2,703619159424543","638,8172595351226",Dati Validi,1
73,2024-06-28,2024-07-06,2024-07-16,"9756,9","50,89","27450,35",Delayed,China,Italy,Riverstone Logistics Partners,SME,Emirates SkyCargo,Road,Air,2024-26,"10,0",,,,Dati Validi,1
74,2025-02-22,2025-02-28,2025-03-03,"2346,0","13,47","3479,54",Delayed,Italy,USA,Mediterraneo Ceramiche,Standard,Maersk,Air,Sea,2025-07,"3,0",,,,Dati Validi,1
75,2025-04-10,2025-04-12,2025-04-19,"7145,9","24,18","10020,14",Delivered,China,Italy,Riverstone Logistics Partners,SME,CMA CGM,Road,Sea,2025-14,"7,0","1,0",,,Dati Validi,0
76,2024-02-25,2024-02-29,2024-03-05,"13716,8","61,02","20106,91",Delivered,Spain,Italy,Nordic Textiles AB,Key Account,Cosco Shipping,Air,Sea,2024-08,"5,0","1,0",,,Dati Validi,0
77,2025-03-24,2025-04-01,2025-04-24,"21410,6","88,72","20966,08",Delivered,Netherlands,Italy,Delta Manufacturing,Standard,Cosco Shipping,Sea,Sea,2025-12,"23,0","1,0","0,9792383212053843","236,3174030658251",Dati Validi,0
78,2024-04-05,2024-04-09,2024-04-12,"20838,0","84,31","16411,91",Delivered,Spain,Italy,Far East Trading Co,Standard,MSC,Road,Sea,2024-14,"3,0","1,0",,,Dati Validi,0
79,2025-03-01,2025-03-09,2025-03-18,"10076,5","58,69","8900,03",Delivered,Netherlands,Italy,Delta Manufacturing,Standard,Cosco Shipping,Road,Sea,2025-08,"9,0","1,0",,,Dati Validi,0
80,2025-02-28,2025-03-06,2025-04-11,"18061,1","93,86","20421,26",Delivered,Netherlands,Italy,Pinnacle Electronics ,Key Account,Maersk Line,Sea,Sea,2025-08,"36,0","1,0","1,1306764261312987","217,57148945237586",Dati Validi,0
81,2025-05-10,2025-05-16,,"16795,1","81,3","44674,03",In Transit,Italy,Portugal,Riverstone Logistics Partners,SME,,Sea,Road,2025-18,,,,,Anagrafica Carrier Mancante,0
82,2024-08-27,2024-09-03,2024-09-05,"16396,3","64,1","38673,5",Delivered,Spain,Italy,Pinnacle Electronics ,Key Account,Lufthansa Cargo,Road,Air,2024-35,"2,0","1,0",,,Dati Validi,0
83,2024-05-09,2024-05-18,2024-05-23,"19139,9","68,08","28115,84",Delivered,China,Italy,Riverstone Logistics Partners,SME,Maersk Line,Air,Sea,2024-19,"5,0","1,0",,,Dati Validi,0
84,2025-02-23,2025-02-26,2025-03-01,"17204,5","90,67","32805,8",Delivered,Sweden,Italy,Mediterraneo Ceramiche,Standard,MSC,Road,Sea,2025-07,"3,0","1,0",,,Dati Validi,0
85,2025-01-24,2025-01-30,,"11925,3","49,15","11778,95",Cancelled,Germany,Netherlands,Atlantic Furniture Co,Standard,DHL Global Forwarding,Road,Road,2025-03,,,"0,9877277720476635","239,6531027466938",Dati Validi,1
86,2025-03-20,2025-03-22,2025-03-25,"3701,7","18,99","1901,38",Delivered,Italy,Germany,Delta Manufacturing,Standard,Lufthansa Cargo,Road,Air,2025-11,"3,0","1,0",,,Dati Validi,0
87,2025-03-17,2025-03-20,,"9094,5","36,05","7679,14",In Transit,Italy,USA,Nordic Textiles AB,Key Account,Emirates SkyCargo,Air,Air,2025-11,,,"0,8443718731101215","213,01359223300975",Dati Validi,0
88,2025-05-24,2025-06-03,2025-06-07,"10172,2","54,08","10355,53",Delivered,Italy,UK,Coastal Imports,SME,CMA CGM,Road,Sea,2025-20,"4,0","1,0",,,Dati Validi,0
89,2024-06-10,2024-06-12,2024-06-21,"21729,0","111,5","59152,64",Delivered,Germany,Netherlands,Mediterraneo Ceramiche,Standard,Emirates SkyCargo,Road,Air,2024-24,"9,0","1,0",,,Dati Validi,0
90,2025-05-09,2025-05-11,2025-06-07,"12603,7","53,36","35222,63",Delivered,Spain,Italy,Mediterraneo Ceramiche,Standard,Emirates SkyCargo,Sea,Air,2025-18,"27,0","1,0",,,Dati Validi,0
91,2024-02-20,2024-03-01,,"-19896,2","103,13","46367,23",Cancelled,China,Italy,Riverstone Logistics Partners,SME,CMA CGM,Air,Sea,2024-08,,,,,Valori Negativi o Zero,1
92,2024-09-13,2024-09-16,2024-09-19,"14237,2","72,51","21010,34",Delayed,Italy,UK,Green Valley Foods,SME,Lufthansa Cargo,Road,Air,2024-37,"3,0",,,,Dati Validi,1
93,2024-11-30,2024-12-07,2025-01-01,"2950,9","12,78","8296,4",Delivered,Netherlands,Italy,Pinnacle Electronics ,Key Account,Maersk Line,Sea,Sea,2024-48,"25,0","1,0","2,811481243010607","649,170579029734",Dati Validi,0
94,2024-10-29,2024-11-04,2024-11-05,"21185,5","123,81","57967,15",Delivered,Italy,Portugal,Delta Manufacturing,Standard,Maersk Line,Air,Sea,2024-44,"1,0","1,0",,,Dati Validi,0
95,2024-04-02,2024-04-09,2024-04-11,"11827,8","54,2","24115,83",Delivered,Italy,USA,Pinnacle Electronics ,Key Account,CMA CGM,Road,Sea,2024-14,"2,0","1,0",,,Dati Validi,0
96,2024-04-20,2024-04-24,2024-05-03,"13649,1","46,83","16467,95",Delivered,Italy,USA,Coastal Imports,SME,CMA CGM,Road,Sea,2024-16,"9,0","1,0",,,Dati Validi,0
97,2024-11-05,2024-11-12,2024-11-15,"1045,4","6,72","3007,54",Delivered,Italy,Portugal,Riverstone Logistics Partners,SME,Maersk,Road,Sea,2024-45,"3,0","1,0",,,Dati Validi,0
98,2025-04-09,2025-04-15,2025-05-22,"12942,1","49,97","32957,94",Delivered,Spain,Italy,Sunrise Apparel Ltd,Key Account,Cosco Shipping,Sea,Sea,2025-14,"37,0","1,0","2,5465681767255703","659,5545327196319",Dati Validi,0
99,2025-01-14,2025-01-18,2025-01-22,"20914,7","75,15","13643,0",Delivered,China,Italy,Mediterraneo Ceramiche,Standard,CMA CGM,Air,Sea,2025-02,"4,0","1,0",,,Dati Validi,0
100,2024-10-09,2024-10-13,,"18141,0","110,78","16764,97",Cancelled,Spain,Italy,Far East Trading Co,Standard,DHL Global Forwarding,Sea,Road,2024-41,,,,,Dati Validi,1
101,2024-05-08,2024-05-18,2024-05-20,"18264,5","78,34","33344,35",Delivered,Italy,UK,Nordic Textiles AB,Key Account,MSC,Air,Sea,2024-19,"2,0","1,0",,,Dati Validi,0
102,2024-10-10,2024-10-13,,"5551,9","31,51","11088,09",In Transit,China,Italy,Sunrise Apparel Ltd,Key Account,DHL Global Forwarding,Sea,Road,2024-41,,,,,Dati Validi,0
103,2024-01-17,2024-01-20,2024-02-17,"2832,4","13,29","1977,77",Delivered,Italy,USA,Nordic Textiles AB,Key Account,DHL Global Forwarding,Sea,Road,2024-03,"28,0","1,0",,,Dati Validi,0
104,2025-04-07,2025-04-16,,"1001,9","3,75","2717,98",In Transit,Italy,Germany,Mediterraneo Ceramiche,Standard,DHL Global Forwarding,Road,Road,2025-14,,,"2,7128256313005292","724,7946666666667",Dati Validi,0
105,2025-02-15,2025-02-22,2025-03-17,"15687,2","72,45","40294,37",Delivered,Italy,Portugal,Mediterraneo Ceramiche,Standard,MSC,Sea,Sea,2025-06,"23,0","1,0","2,568614539242185","556,167977915804",Dati Validi,0
106,2024-11-28,2024-12-05,,"6523,0","28,88","9671,64",In Transit,Netherlands,Italy,Atlantic Furniture Co.,Standard,Maersk,Sea,Sea,2024-48,,,"1,482698145025295","334,89058171745154",Dati Validi,0
107,2025-03-16,2025-03-24,2025-03-29,"7489,5","34,35","10556,41",Delivered,Italy,UK,Atlantic Furniture Co,Standard,Cosco Shipping,Road,Sea,2025-10,"5,0","1,0",,,Dati Validi,0
108,2025-01-18,2025-01-21,2025-01-30,"2052,4","12,61","3258,89",Delivered,Netherlands,Italy,Pinnacle Electronics,Key Account,DHL Global Forwarding,Road,Road,2025-02,"9,0","1,0","1,5878435002923406","258,43695479777955",Dati Validi,0
109,2024-12-03,2024-12-05,2024-12-13,"19225,7","66,03","27575,84",Delivered,China,Italy,Green Valley Foods,SME,Maersk Line,Road,Sea,2024-49,"8,0","1,0",,,Dati Validi,0
110,2024-12-26,2024-12-28,2025-01-07,"3446,3","15,5","8558,97",Delivered,Netherlands,Italy,Nordic Textiles AB,Key Account,Emirates SkyCargo,Road,Air,2024-52,"10,0","1,0",,,Dati Validi,0
111,2024-08-19,2024-08-26,,"18014,5","74,43","35051,96",Cancelled,Netherlands,Italy,Far East Trading Co,Standard,DHL Global Forwarding,Sea,Road,2024-34,,,,,Dati Validi,1
112,2024-10-06,2024-10-11,2024-11-10,"184,0","0,66","513,96",Delivered,Sweden,Italy,Riverstone Logistics Partners,SME,Emirates SkyCargo,Sea,Air,2024-40,"30,0","1,0",,,Dati Validi,0
113,2024-08-08,2024-08-15,2024-09-17,"7532,7","36,65","16380,33",Delivered,Germany,Netherlands,Atlantic Furniture Co.,Standard,MSC,Sea,Sea,2024-32,"33,0","1,0","2,1745629057310127","446,9394270122783",Dati Validi,0
114,2024-06-10,2024-06-20,2024-07-11,"1840,7","8,5","2871,92",Delayed,Sweden,Italy,Coastal Imports,SME,Maersk,Sea,Sea,2024-24,"21,0",,"1,5602325202368663","337,8729411764706",Dati Validi,1
115,2024-04-26,2024-05-02,2024-06-04,"6267,3","24,89","10110,11",Delivered,Germany,Netherlands,Pinnacle Electronics,Key Account,Emirates SkyCargo,Sea,Air,2024-17,"33,0","1,0",,,Dati Validi,0
116,2024-01-08,2024-01-12,2024-01-15,"16893,3","63,84","18584,64",Delivered,China,Italy,Nordic Textiles AB,Key Account,Lufthansa Cargo,Air,Air,2024-02,"3,0","1,0","1,1001189820816537","291,11278195488717",Dati Validi,0
117,2025-01-24,2025-02-02,,"12314,0","49,22","15581,49",In Transit,Sweden,Italy,Mediterraneo Ceramiche,Standard,CMA CGM,Sea,Sea,2025-03,,,"1,265347571869417","316,5682649329541",Dati Validi,0
118,2025-04-15,2025-04-17,,"9472,8","44,97","18493,89",In Transit,China,Italy,Pinnacle Electronics ,Key Account,MSC,Air,Sea,2025-15,,,,,Dati Validi,0
119,2025-04-16,2025-04-22,2025-04-23,"18586,4","99,66","33935,94",Delivered,Sweden,Italy,Pinnacle Electronics,Key Account,MSC,Air,Sea,2025-15,"1,0","1,0",,,Dati Validi,0
120,2024-08-14,2024-08-20,2024-08-24,"11255,1","67,35","18644,06",Delivered,Italy,USA,Pinnacle Electronics,Key Account,Emirates SkyCargo,Road,Air,2024-33,"4,0","1,0",,,Dati Validi,0
121,2024-08-29,2024-08-31,2024-09-04,"4380,1","18,22","10023,03",Delivered,Sweden,Italy,Green Valley Foods,SME,DHL Global Forwarding,Road,Road,2024-35,"4,0","1,0","2,2883107691605216","550,1114160263447",Dati Validi,0
122,2024-11-26,2024-12-02,2024-12-04,"1548,9","7,16","1891,39",Delivered,Italy,Portugal,Atlantic Furniture Co.,Standard,,Air,Road,2024-48,"2,0","1,0",,,Anagrafica Carrier Mancante,0
123,2024-11-13,2024-11-21,2024-11-30,"1298,7","4,73","1111,13",Delivered,Italy,Germany,Nordic Textiles AB,Key Account,DHL Global Forwarding,Road,Road,2024-46,"9,0","1,0","0,8555709555709556","234,91120507399577",Dati Validi,0
124,2024-02-12,2024-02-20,2024-02-25,"4181,9","17,37","7089,97",Delayed,Italy,Portugal,Atlantic Furniture Co,Standard,Cosco Shipping,Air,Sea,2024-07,"5,0",,,,Dati Validi,1
125,2025-05-31,2025-06-03,2025-06-04,"15582,3","52,18","26095,22",Delivered,Italy,Germany,Mediterraneo Ceramiche,Standard,Maersk,Air,Sea,2025-21,"1,0","1,0",,,Dati Validi,0
126,2025-02-22,2025-02-28,2025-03-05,"17373,5","70,31","9780,76",Delivered,Spain,Italy,Green Valley Foods,SME,DHL Global Forwarding,Air,Road,2025-07,"5,0","1,0",,,Dati Validi,0
